eps_12	n_surf	temp	job	superposicion
0.7	100	0.30	02	0.018525969200000002
0.7	100	0.30	03	0.018849081166666667
0.7	100	0.30	01	0.01855722363333333
0.7	010	0.80	02	0.017227661999999998
0.7	010	0.80	03	0.016328366333333344
0.7	010	0.80	01	0.017163164999999998
0.7	010	0.90	02	0.015036742666666662
0.7	010	0.90	03	0.014377523666666668
0.7	010	0.90	01	0.014949085666666667
0.7	010	0.70	02	0.019619648666666677
0.7	010	0.70	03	0.019619328999999994
0.7	010	0.70	01	0.019544318666666664
0.7	010	0.60	02	0.021368009000000004
0.7	010	0.60	03	0.021767938000000008
0.7	010	0.60	01	0.021184359333333333
0.7	010	0.40	02	0.007478579999999999
0.7	010	0.40	03	0.007927106
0.7	010	0.40	01	0.014994139666666665
0.7	010	0.20	02	0.016572022333333332
0.7	010	0.20	03	0.016603401666666667
0.7	010	0.20	01	0.017429037333333335
0.7	010	0.50	02	0.023057662666666662
0.7	010	0.50	03	0.023471050333333333
0.7	010	0.50	01	0.023529684666666665
0.7	010	0.30	02	0.016658092333333336
0.7	010	0.30	03	0.01697031366666666
0.7	010	0.30	01	0.016715472000000002
0.5	050	0.80	02	0.013891978066666666
0.5	050	0.80	03	0.013679837399999999
0.5	050	0.80	01	0.013969654599999994
0.5	050	0.90	02	0.012849405933333329
0.5	050	0.90	03	0.013156068400000004
0.5	050	0.90	01	0.013034555799999998
0.5	050	0.70	02	0.014838917266666665
0.5	050	0.70	03	0.01496917133333333
0.5	050	0.70	01	0.015141247333333331
0.5	050	0.60	02	0.015328169999999999
0.5	050	0.60	03	0.015606029799999999
0.5	050	0.60	01	0.016109217266666663
0.5	050	0.40	02	0.013741260066666667
0.5	050	0.40	03	0.013929038333333334
0.5	050	0.40	01	0.013688577466666666
0.5	050	0.20	02	0.02077093206666666
0.5	050	0.20	03	0.02070539653333333
0.5	050	0.20	01	0.0211229672
0.5	050	0.50	02	0.015499412933333331
0.5	050	0.50	03	0.015502400533333332
0.5	050	0.50	01	0.015251939733333334
0.5	050	0.30	02	0.018218106133333335
0.5	050	0.30	03	0.018327180266666666
0.5	050	0.30	01	0.0184909686
0.5	030	0.80	02	0.01428479611111111
0.5	030	0.80	03	0.014806814888888891
0.5	030	0.80	01	0.014689765111111109
0.5	030	0.90	02	0.013215850555555554
0.5	030	0.90	03	0.01324591888888889
0.5	030	0.90	01	0.013489152444444447
0.5	030	0.70	02	0.016009526444444443
0.5	030	0.70	03	0.016511258888888894
0.5	030	0.70	01	0.01634724644444445
0.5	030	0.60	02	0.016752504777777778
0.5	030	0.60	03	0.016932408666666666
0.5	030	0.60	01	0.01645653422222222
0.5	030	0.40	02	0.020531218666666663
0.5	030	0.40	03	0.021061860777777778
0.5	030	0.40	01	0.020370645777777772
0.5	030	0.20	02	0.020976220333333337
0.5	030	0.20	03	0.020178481777777774
0.5	030	0.20	01	0.020723008111111118
0.5	030	0.50	02	0.017190559333333334
0.5	030	0.50	03	0.01701645944444444
0.5	030	0.50	01	0.01757095855555555
0.5	030	0.30	02	0.021179530777777775
0.5	030	0.30	03	0.021947878555555564
0.5	030	0.30	01	0.020146129888888878
0.5	100	0.80	02	0.012606360799999996
